,,N,N,N,O,,,,,W_A_13,,W_A_140,,W_M_19,O,O,C,,,,Proj. Loc. (State):,,,,US,,,,State/Terrain,Contractor,WA,,Q3 2023 Model,
,,T,T,T,R,,,,,W_A_81,,W_A_51,,W_M_20,D,D,H,,,This Estimated is in,US Dollars Base,At an exchange rate of,,,,,,Manual,USA,Soils,"4 - Hard Clays/Sands, Glacial till",,Steep Hills,
,,1,2,3,Y,,,W_A_106,W_A_142,W_A_82,,,,W_M_21,E,E,K,,,,,,,,,,,QTY's,500,1.254302,"3 - Dense Sands/Clays, Weathered Shales",,TOTAL,
,,=,=,=,,,,,,,,,,W_M_22,=,=,=,=,,SOW ITEM DESCRIPTION,,,,,,,,NEER,UoM,,UNIT RATES,,EST. $'S,





,312-01-02.5004,312-,01-,02.5004,Public Roads,,,,,,,,,W_M_101,OffsiteRoads,2.5,2,02.5004,,Public Roads Repairs - Gravel:,,,Road Width (ft): ,24,C,,,34392,Cy.,# in. depth,66.981266,,2303619.715793,
,312-01-02.5005,312-,01-,02.5005,Public Roads,,,,,,,,,W_M_102,OffsiteRoads,2.5,2,02.5005,,Public Roads Repairs - Dirt/Caliche:,,,Road Width (ft): ,24,C,,,0,Cy.,# in. depth,35.666276,,0,
,312-01-02.5006,312-,01-,02.5006,Public Roads,,,,,,,,,W_M_103,OffsiteRoads,2.5,2,02.5006,,"Turning Radii, Public Haul Roads",,,,,C,,,25,Ea.,,23501.49911,,587537.477754,
,312-01-02.5007,312-,01-,02.5007,Public Roads,,,,,,,,,W_M_104,OffsiteRoads,2.5,2,02.5007,,"Road Culverts at Haul Route (30"" Dia & Smaller)",,,,,C,,,1250,Lf.,,110.565456,,138206.819754,
,312-01-02.5008,312-,01-,02.5008,Public Roads,,,,,,,,,W_M_105,OffsiteRoads,2.5,2,02.5008,,"Road Culverts at Haul Route (36"" Dia. & Larger)",,,,,C,,,1250,Lf.,,285.330209,,356662.760657,
,312-01-02.5009,312-,01-,02.5009,Public Roads,,,,,,,,,W_M_106,OffsiteRoads,2.5,2,02.5009,,Remove Road Turns Off Site Haul Road:,,,,,C,,,25,Ea.,,6096.493634,,152412.340849,
,312-01-02.5010,312-,01-,02.5010,Public Roads,,,,,,,,,W_M_107,OffsiteRoads,2.5,2,02.5010,,Remove Road Culverts at Haul Route,,,,,C,,,2500,Lf.,,49.486958,,123717.395103,
,,Header,,2.6,,,,,,,,,,W_M_108,Turns,2,2,2.6,,"ROAD ACCESS, APPROCHES, T/A, Etc.",,,,Road Turn Radius:,C,,,,,Radius Ft,,,,
,312-01-02.6001,312-,01-,02.6001,Civil Roads,,,,,,,,,W_M_109,Turns,2,2,02.6001,,"Main Site Access: ""Major Approach"" Entering From Major State Road.",,,,,C,,,4,Ea.,190,58024.594663,,232098.378652,
,312-01-02.6002,312-,01-,02.6002,Civil Roads,,,,,,,,,W_M_110,Turns,2,2,02.6002,,Road approaches – Entrances and Radii from Public roads,,,,,C,,,32,Ea.,,20888.716124,,668438.915974,
,312-01-02.6003,312-,01-,02.6003,Civil Roads,,,,,,,,,W_M_111,Turns,2,2,02.6003,,Road Turnarounds (aka Cul-de-Sacs) (T):,,,,,C,,,0,Ea.,0.1,2333.570029,,0,
,312-01-02.6004,312-,01-,02.6004,Civil Roads,,,,,,,,,W_M_112,Turns,2,2,02.6004,,Road Pull-Outs:,,,,,C,,,0,Ea.,of Circle,11665.033866,,0,
,312-01-02.6005,312-,01-,02.6005,Civil Roads,,,,,,,,,W_M_113,Turns,2,2,02.6005,,"Flip Haul Trailers ""Option""",,,,,C,,,0,Ea.,,8559.906256,,0,
,312-01-02.6006,312-,01-,02.6006,Civil Roads,,,,,,,,,W_M_114,Turns,2,2,02.6006,,Remove Road Approaches:,,,,,C,,,32,Ea.,,6096.493634,,195087.796286,
,312-01-02.6007,312-,01-,02.6007,Civil Roads,,,,,,,,,W_M_115,Turns,2,2,02.6007,,Remove Road Turnarounds:,,,,,C,,,0,Ea.,,619.326337,,0,
,312-01-02.6008,312-,01-,02.6008,Civil Roads,,,,,,,,,W_M_116,Turns,2,2,02.6008,,Remove Road Pull-Outs:,,,,,C,,,0,Ea.,,3404.50817,,0,
,,Header,,2.7,,,,,,,,,,W_M_117,Dust,2.7,2,2.7,,GENERAL ROAD MISC.,,,,,C,,,,,State Factor,,,,
,312-01-02.7001,312-,01-,02.7001,Civil Roads,,,,,,,,,W_M_118,Dust,2.7,2,02.7001,,General Dust Abatement,,,,,C,,,1,Lot,2,1936820.368497,,1936820.368497,
,,,,,,,,,,,,,,W_M_119,,,-,120,,-,-,-,-,-,,,,-,-,1,-,,-,
,,,,,,,,,,,,,,W_M_120,,,,121,,,,,,,,,,,,,,,27108486.999628,
,,,,,,,,,,,,,,W_M_121,,,,122,,,,,,,,,,,,,,,,
,,Header,,3.0,,,,,,,,,,W_M_122,,,,3.0,,"CIVIL ""OTHER"" WORK CONSTRUCTION",,,,,,,,,,,,,,
,,,,,,,,,,,,,,W_M_123,,,-,124,,-,-,-,-,-,,,,-,-,,-,,-,
,,Header,,3.1,,,,,,,,,,W_M_124,Roads,3,3,3.1,,"SITE CIVIL WORK (Surveying, Staking, Signs, Etc.)",,,,,,,,,,,,,,
,312-02-03.1001,312-,02-,03.1001,Civil Other,,,,,,,,,W_M_125,Roads,3,3,03.1001,,Roads: Temporary Signs,,,,,C,,,1,Lot,,16905.814855,,16905.814855,
,312-02-03.1002,312-,02-,03.1002,,,,,,,,,,W_M_126,Roads,3,3,03.1002,,Roads: Permanent Signs,,,,,C,,,1,Lot,,27819.695331,,27819.695331,
,312-02-03.1003,312-,02-,03.1003,,,,,,,,,,W_M_127,Roads,3,3,03.1003,,Staking & Flagging,,,,,C,,,1,Lot,,94515.631574,,94515.631574,
,312-02-03.1004,312-,02-,03.1004,,,,,,,,,,W_M_128,Roads,3,3,03.1004,,Mapping & Locating of Underground Lines/Utilities,,,,,C,,,1,Lot,,85064.068417,,85064.068417,
,,Header,,3.2,,,,,,,,,,W_M_129,SoilsCP,3.2,3,3.2,,"CRANE ""HARD STANDINGS""",,,,,C,,,,,Ac,,,,
,312-02-03.2001,312-,02-,03.2001,,,,,,,,,,W_M_130,SoilsCP,3.2,3,03.2001,,"WTG Area: Clear, Grub, Prep. & Grade",,,,Acres per WTG Area:,C,,,106,Ea.,1.565121,25817.685011,,2736674.611175,
,312-02-03.2002,312-,02-,03.2002,,,,,,,,,,W_M_131,SoilsCP,3.2,3,03.2002,,WTG Area: Blasting,,,,,C,,,267671.25,Cy.,5,13.374854,,3580063.761502,
,312-02-03.2003,312-,02-,03.2003,,,,,,,,,,W_M_132,Pads,3.2,3,03.2003,,"WTG Area: Cut, Fill, Grading",,,,,,,,1338356,Cy.,12626,8.75445,,11716570.121759,
,312-02-03.2004,312-,02-,03.2004,,,,,,,,,,W_M_133,Pads,3.2,3,03.2004,,"Crane ""Hard Standing"" Pads ",,Base Assum.,,Inches of Base:,C,,,106,Ea.,0,3776.465338,,400305.325806,
,,,,,,,,,,,,,,W_M_134,Pads,3.2,3,135,,,(Achieved  W/Compacted Soil),(40' w x Length),,80 Ft Length of Crane Pad:,C,,,,,40,,Add lgth above 80Ft,,
,312-02-03.2006,312-,02-,03.2006,,,,,,,,,,W_M_135,Pads,3.2,3,03.2006,,"Restore / Reclaim ""Hard Standing"" Area",,,,,C,,,106,Ea.,,5961.420283,,631910.550022,
,312-02-03.2007,312-,02-,03.2007,,,,,,,,,,W_M_136,Pads,3.2,3,03.2007,,Crane Pads - Movable Dunnage,,,,,C,,,0,Lot,,842982.666667,,0,
,,Header,,3.3,,,,,,,,,,W_M_137,Civil,3,3,3.3,,PROJECT FENCING/GATES/GUARDS,,,,,C,,,,,,,,,
