,W_M_576,W_A_112,,Number of Take-Off Towers,,Ea.,1,,,,,,,,,,
,,W_A_113,,Cap Banks LV or HV,,,LV,,,,,,,,,,
,,W_A_114,,Cap Banks number of,,Ea.,1,,,,,,,,,,
,,W_A_115,,Cap Banks MVAR,,MVAR,9,,,,,,,,,,
,,W_A_116,,Reactor Banks LV - Side Number of,,Ea.,0,,,,,,,,,,
,,W_A_117,,Reactor Banks LV - MVAR,,MVAR,0,,,,,,,,,,
,,W_A_118,,Interconnect Switchyard,,,Excluded,,,,,,,,,,
,,W_A_119,,Interconnect Switchyard Configuration,,,,,,,,,,,,,
,,W_A_120,Need,"Gen Tie Line, Distance (Miles) A/G",,Miles,15,,,,,,,,,,


















,,W_A_139,,Estimate Basis:,,,USA Database,,,,,,,,,,
,,W_A_140,,Reference EPC Pricing,,,Q3 2023 Model,,,,,,,,,,
,,W_A_141,,Construction Requirements,,,Union,,,,,,,,,,
,,W_A_142,,   Metropolitan Area Labor Assumed?,,,No,,,,,,,,,,
,,W_A_143,,Load Bank Commissioning,,,Included,,,,,,,,,,
,,W_A_144,,WTG Precommissing ,,,Excluded,,,,,,,,,,
,,W_A_145,,Construction Acceleration,,,Excluded,,,,,,,,,,
,,W_A_146,,Winter Build,,,Excluded,,,,,,,,,,
,,W_A_147,,Design & Layout Information,,,,,,,,,,,,,
,,W_A_148,,Project Energy / Utility,,,Energy,,,,,,,,,,
,,W_A_149,,WTG Array,,,Yes,,,,,,,,,,
,,W_A_150,,Date of WTG Array,,,01/12/24,,,,,,,,,,
,,W_A_151,,WTG Micro Sited,,,No,,,,,,,,,,
,,W_A_152,,Geo Tech Completed,,,No,,,,,,,,,,
,,W_A_153,,Foundation Design,,,No,,,,,,,,,,
,,W_A_154,,Roadway Layouts,,,No,,,,,,,,,,
,,W_A_155,Need,"Quantities, Road work",,,Takeoffs,,,,,,,,,,
,,W_A_156,,Collection Design,,,No,,,,,,,,,,
,,W_A_157,Need,"Quantities, Collection",,,Takeoffs,,,,,,,,,,
,,W_A_158,,Substation Design,,,No,,,,,,,,,,
,,W_A_159,,Interconnect Design,,,No,,,,,,,,,,
,,W_A_160,,Transmission Design,,,No,,,,,,,,,,
,,W_A_161,,Land Control,,,No,,,,,,,,,,
,,W_A_162,,NESC Code,,,2017 NESC,,,,,,,,,,
,,W_A_163,,Estimate Excludes:,,,,,,,,,,,,,
,,W_A_164,,"All OEM Pricing is ""EXCLUDED""",,,Excluded,,,,,,,,,,
,,W_A_165,,Electrical Integration,,,Excluded,,,,,,,,,,
,,W_A_166,,Permitting / Land costs,,,Excluded,,,,,,,,,,
,,W_A_167,,Development Costs,,,Excluded,,,,,,,,,,
,,W_A_168,,Wet Land Mitigation,,,Excluded,,,,,,,,,,
,,W_A_169,,Import Duties for Canada,,,Not Applicable,,,,,,,,,,
,,W_A_170,,CSA WTG Compliance,,,Not Applicable,,,,,,,,,,
,,W_A_171,,All Taxes,,,Excluded,,,,,,,,,,
,,W_A_172,,All Permits & Permit Fees,,,Excluded,,,,,,,,,,
,,W_A_173,,Road Repair & Maintance (County Imposed),,,Excluded,,,,,,,,,,
,,W_A_174,,Crop Damage,,,Excluded,,,,,,,,,,
,,W_A_175,,"Provincial / Canada Tax PST,  GST, HST",,,Not Applicable,,,,,,,,,,
,,W_A_176,,,,,,,,,,,,,,,
,,W_A_177,1,NEER Eng,BOP,BOPENG,1679982.585338,,,,WA Odie 298.92MW 2028PPA,BOP,Δ/$,$/kW,Δ $/kW,MW,
,,W_A_178,1.4,NEER Eng (Gen Tie - Line),Tline,Tline,,,W,01-19-24,WA Lower Snake East 2027BOT,208720000,-,770.981087,-,270.72,Previous 
,,W_A_179,5,NEER Mtl's (collection),BOP,BOPC,16086760.62544,,,Step 1,Collection,208720000,0,770.981087,0,270.72,
,,W_A_180,5.1,Pad Mount Transformers,BOP,BOPC,8500359.024,,,Step 2,"SS, GSU",208720000,0,770.981087,0,270.72,
,,W_A_181,7,Substation Materials,Sub,BOPSUB,3444192.495279,,,Step 3,Cranes,208720000,0,770.981087,0,270.72,
,,W_A_182,7.1,Main Transformer,Sub,BOPSUB,13354673.115,,,Step 4,Foundations,208720000,0,770.981087,0,270.72,
,,W_A_183,,EPC Labor & Mtl's,,,,,,Step 5,Civil,208720000,0,770.981087,0,270.72,
,,W_A_184,2,Roads,BOP,BOPCR,20023321.864364,,,Step 6,"MET, OM, Engineering, G&A, M&A and/or Other",208720000,0,770.981087,0,270.72,
,,W_A_185,2.5,Offsite Road Repair,BOP,BOPCR,5148344.766766,,,Step 7,Escalation,208720000,0,770.981087,0,270.72,
,,W_A_186,2.7,Dust Control \ Water,BOP,BOPCR,1936820.368497,,W,01-30-24,Refresh,208720000,0,770.981087,0,270.72,Refresh
,,W_A_187,3,Civil Other,BOP,BOPCR,7907426.830744,,W,Step 8,Technology,208720000,0,770.981087,0,270.72,0
,,W_A_188,3.2,Crane Pads,BOP,BOPCR,19065524.370263,,X,Step 9,Size ,226310000,17590000,757.092199,-13.888889,298.92,1759000
,,W_A_189,4,Foundations,BOP,BOPF,37544258.36274,,Y,Step 10,"SS, Interconnect changes ",232270000,5960000,777.030644,19.938445,298.92,
,,W_A_190,6,Collection Installation,BOP,BOPC,40736173.056258,,Z,Step 11,Array,253390000,21120000,847.684999,70.654356,298.92,
,,W_A_191,8,Substation Installation,Sub,BOPSUB,6143222.509683,,AA,Step 12,COD,260180000,6790000,870.400107,22.715108,298.92,
,,W_A_192,12,"WTG Erection, Cranes",BOP,BOPCranes,11047614.210851,,AB,Step 13,True-ups/ adjustments,254320000,-5860000,850.7962,-19.603907,298.92,
,,W_A_193,12.5,WTG Erection,BOP,BOPWTG,18950596.383536,,AC,01-30-24,WA Odie 298.92MW 2028PPA,253840000,45120000,849.190419,78.209331,298.92,
,,W_A_194,13,O & M Building,BOP,BOPENG,1765748.76572,,,,,,,,,,
,,W_A_195,13.1,Met Tower Supply,BOP,BOPENG,435926.759697,,,NOTES:,Refresh: Blasting UP for crane pads,,,,,,
