
,W_A_26,W_ER_30,Req,Wind Load (mph),105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,105 MPH,,105 MPH,,,,OMNI system,Early Stage,B29,,,,,,,,,,,
,W_A_27,W_ER_31,,Construction Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_245,W_ER_32,Req,Winter Break,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded,Included,Excluded,,Excluded,,,,Default,Early Stage,B249,,,,,,,,,,,
,,W_ER_33,Calc,Installation Rate (MWdc/Month),17,10,10,17,10,10,10,17,10,17,,12,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_34,Calc,Module Delivery Rate (MWdc/Week),10,8,8,10,8,8,8,10,8,10,,8,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,W_A_28,W_ER_35,Calc,Earliest Start Date (site work),06-01-25,03-02-26,06-01-25,06-01-25,08-31-25,08-31-25,03-02-26,06-01-25,03-02-26,06-01-25,,11-01-24,,,,OMNI system,Early Stage,B31,,,,,,,,,,,
,W_A_29,W_ER_36,Calc,First Module Delivered,03-05-26,06-02-26,08-30-25,03-05-26,03-29-26,03-29-26,06-02-26,03-05-26,06-02-26,03-05-26,,06-01-25,,,,OMNI system,Early Stage,B32,,,,,,,,,,,
,W_A_31,W_ER_38,Calc,Backfeed Power Date (Sub In Service),09-17-26,05-01-27,09-02-26,09-17-26,07-02-26,07-02-26,05-01-27,09-17-26,05-01-27,09-17-26,,10-02-25,,,,Calculation,Early Stage,B34,,,,,,,,,,,
,W_A_32,W_ER_39,Req,Intended COD,12-31-26,07-30-27,12-01-26,12-31-26,09-30-26,09-30-26,07-30-27,12-31-26,07-30-27,12-31-26,,12-31-25,,,,OMNI system,Early Stage,B35,"Construction End, COD Date",,,,,,,,,,
,,W_ER_40,Calc,Tax Credit Qualification Strategy,Solar_Mixed_Vintage,Solar_Mixed_Vintage,Solar_Mixed_Vintage,Solar_Mixed_Vintage,Solar_Mixed_Vintage,Solar_IRA_Safe_Harbor_2023,Solar_Mixed_Vintage,Solar_IRA_Safe_Harbor_2023,Solar_Mixed_Vintage,Solar_IRA_Safe_Harbor_2023,,Solar_IRA_Safe_Harbor_2022,,,,OMNI system,Early Stage,NA,,,,,,,,,,,
