
,,,B_A_7,ASSUMP_UID_COLUMNS,,,,,,B_M_1,,,,,,,,,,,,,,Project Name:,,Red Pricing Project Name,,,,,,,BESSPower OMNI,,,,,,,BESSPower,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,
,,,,B_A_49,B_A_48,B_A_51,,B_A_50,,B_M_22,,,,,,,,,,,,,,,,1st Racks:,5,CATL,124,,2,,1st Racks:,5,CATL,124,,2,,1st Racks:,5,CATL,128,,2,,1st Racks:,5,CATL,988,,2,,1st Racks:,5,CATL,310,,2,,1st Racks:,5,CATL,679,,2,,1st Racks:,5,CATL,987,,2,
,,,,B_A_53,B_A_52,B_A_55,,B_A_54,,B_M_23,,,C,S,,,,,,,,,,,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,,2nd Racks:,0,N/A,0,,3,
,,,,B_A_58,,B_A_57,,,,B_M_24,C,C,H,C,,,,,,,,,,,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,,# Conv:,0,Conv MVA:,0.5,,Disconnects,
,Unifier Codes v8.5,,,,B_A_81,,,B_A_111,,B_M_25,O,O,E,O,,,,,,,,,,,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,,Inv Type,Clear/Grub,None,Model Ref. Pricing,,01-01-23,
,Code Fields,,B_A_71,,B_A_89,,,B_A_79,,B_M_26,D,D,C,P,,,This Estimate is in,US Dollars Base,At an exchange rate of,,Manual,,,,,Central,% Rock,0,Distance from Coast,,>25 miles,,Central,% Rock,0,Distance from Coast,,>25 miles,,Central,% Rock,0,Distance from Coast,,>25 miles,,Central,% Rock,1,Distance from Coast,,>25 miles,,Central,% Rock,1,Distance from Coast,,>25 miles,,Central,% Rock,1,Distance from Coast,,>25 miles,,Central,% Rock,1,Distance from Coast,,>25 miles,
,WBS,,,B_A_61,,,,B_A_22,,B_M_27,E,E,K,E,SOW,,,,,,,,,,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,,Xfmr MVA,3.90,Union Factor,Energy Charge / Discharge Duration (Hours),,4,
,=,,,,,,,,,B_M_28,=,=,=,,=,,SOW ITEM DESCRIPTION,,,,,,,,,QTY's,UoM,1.56,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.56,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.22,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.09,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.09,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.09,UNIT RATES,,TOTAL EST. $'S,,QTY's,UoM,1.09,UNIT RATES,,TOTAL EST. $'S,
,,,,,,,,,,B_M_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,B_M_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,B_M_31,,,,,1,,ENGINEERING - NEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
